date,peak_price,peak_percent,chip_total_percent,date_str
2026-03-04,4.8,20.18,100.01999999999998,2026-03-04
2026-03-05,4.8,19.62,100.00999999999999,2026-03-05
2026-03-06,4.8,19.02,99.99999999999997,2026-03-06
2026-03-09,4.8,18.34,100.01999999999998,2026-03-09
2026-03-10,4.8,17.75,100.01999999999998,2026-03-10
2026-03-11,4.8,17.11,100.01999999999998,2026-03-11
2026-03-12,4.8,16.19,100.00999999999998,2026-03-12
2026-03-13,4.8,15.23,100.01999999999997,2026-03-13
2026-03-16,4.8,14.61,100.00999999999996,2026-03-16
2026-03-17,4.8,14.14,99.99999999999997,2026-03-17
2026-03-18,4.8,13.84,99.99999999999997,2026-03-18
2026-03-19,4.8,12.31,100.00999999999996,2026-03-19
2026-03-20,4.8,8.95,99.95999999999998,2026-03-20
2026-03-23,6.2,9.53,99.99999999999999,2026-03-23
2026-03-24,6.2,10.35,100.00999999999999,2026-03-24
2026-03-25,6.2,8.47,100.0,2026-03-25
2026-03-26,6.2,5.94,100.03,2026-03-26
2026-03-27,7.1,7.94,100.04000000000002,2026-03-27
2026-03-30,6.3,8.0,100.05000000000001,2026-03-30
2026-03-31,6.3,8.04,100.03,2026-03-31
2026-04-01,6.3,7.19,100.02,2026-04-01
